,0.0,0,100.0,0,1.0,2026-02-28
Knowledge Representation and Reasoning,90.0,40.816326530612244,34.59,31,2.0,2026-02-28
Knowledge Representation and Reasoning,"Rules and
data, Object-oriented systems, Natural language Semantics, Levels of representation
UNIT - IV
Processes: Times, Events and Situations, Classification of processes, Procedures, Processes and
Histories, Concurrent processes, Computation, Constraint satisfaction, Change Contexts: Syntax of
contexts, Semantics of contexts, First-order reasoning in contexts, Modal reasoning in contexts, Encapsulating objects in contexts.
UNIT - V
Knowledge Soup: Vagueness, Uncertainty, Randomness and Ignorance, Limitations of logic, Fuzzy
logic, Nonmonotonic Logic, Theories, Models and the world, Semiotics Knowledge Acquisition and
Sharing: Sharing Ontologies, Conceptual schema, Accommodating multiple paradigms, Relating
different knowledge representations, Language patterns, Tools for knowledge acquisition",1.0,2026-02-28
Knowledge Representation and Reasoning,"Rules and
data, Object-oriented systems, Natural language Semantics, Levels of representation
UNIT - IV:
Processes: Times, Events and Situations, Classification of processes, Procedures, Processes and
Histories, Concurrent processes, Computation, Constraint satisfaction, Change Contexts: Syntax of
contexts, Semantics of contexts, First-order reasoning in contexts, Modal reasoning in contexts, Encapsulating objects in contexts.
UNIT - V:
Knowledge Soup: Vagueness, Uncertainty, Randomness and Ignorance, Limitations of logic, Fuzzy
logic, Nonmonotonic Logic, Theories, Models and the world, Semiotics Knowledge Acquisition and
Sharing: Sharing Ontologies, Conceptual schema, Accommodating multiple paradigms, Relating
different knowledge representations, Language patterns, Tools for knowledge acquisition",1.0,2026-02-28
Knowledge Representation and Reasoning,"UNIT - III
Knowledge Representations: Knowledge Engineering, Representing structure in frames",2.0,2026-02-28
Knowledge Representation and Reasoning,"UNIT - III:
Knowledge Representations: Knowledge Engineering, Representing structure in frames",2.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times, Events and Situations",2.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times, Events and Situations",2.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times",1.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times, Events and Situations, Classification of processes, Procedures, Processes and
Histories, Concurrent processes, Computation, Constraint satisfaction, Change Contexts: Syntax of
contexts, Semantics of contexts, First-order reasoning in contexts, Modal reasoning in contexts",12.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times, Events and Situations, Classification of processes, Procedures, Processes and
Histories, Concurrent processes, Computation, Constraint satisfaction, Change Contexts: Syntax of
contexts, Semantics of contexts, First-order reasoning in contexts, Modal reasoning in contexts",12.0,2026-02-28
Knowledge Representation and Reasoning ,"Levels of representation
UNIT - IV:
Processes: Times, Events and Situations",2.0,2026-02-28
